review_id,Airline,Reviews,gt_sentiment,gt_categories
2328,Qatar Airways,"Bangkok to Frankfurt via Doha. Bangkok ground staff are polite, but during boarding, it was the most chaotic scene. The Boeing 777-300 uses the 3-4-3 configuration. On this flight, the flight attendant serving my section was sub par of what I'm used to at Qatar airways. The food was fantastic. The flight to Frankfurt was on a brand new A350, with wide seats a the tail camera. I really like the exterior cameras! The flight attendant who was friends with another flight attendant I met before, and was polite and very friendly.  On the return leg from Vienna, 4 counters open with few passengers. This time, the cabin was only 40% full, so I moved rows and had a whole row to myself. The catering from European airports is always good, so my braised beef with potato au gratin was excellent. The flight attendant I met remembered what I wanted and made the service so personalised it was like a first class flight in economy! She is the best flight attendant I've ever met! In the rear galley, I also met a Bhutanese and Moroccan flight attendant who were equally as nice. But the nicest of them all has to be the Cabin Services Director who came to my seat just before landing to say hello, and we exchanged pleasantries. During disembarkation, I asked if I was able to get a photo with the captain. While waiting for the captain to come out of the cockpit, I was able to try out the business class seat and found it superior to Cathay Pacific's product. On the return leg, wifi wasn't working for much of the flight. Overall, it was totally a 10/10 flight, with the minor complaints about the experience at Bangkok airport.",,
831,Singapore Airlines,"Copenhagen to Brisbane via Singapore. SAS Lounge in CPN comfortable and food looked OK, was not sure re wine out of a tap and so left this alone. The only other alcohol in the Business Class lounge was beer. Flight left on time and crew started working down one side of the Business Class cabin almost immediately, the other side took substantially longer. In any case the crew were helpful, the food was fine and the seat comfortable. Wine was good and topped up. A short stay in the lounge at Changi T3 and then re-boarded the same plane at the same gate (different flight number). Crew still fine but food was not up to scratch, the steak was very overcooked to the point of being really tough. The vegetables were mush, I didn't eat much and the crew member asked if I wanted anything else but I went to sleep instead. Supper coming into Brisbane was better. Waited 25 minutes for one bag in BNE, the other didn't arrive. Filled in the details at the airport. Have not heard back, no one answers the baggage service phone although you can leave a message that no one responds to as well. Calling Singapore Airlines they give you the number for Menzies Aviation that you have already called, they also mentioned that they would call back but have not. The online bag track system has had the same message on it for 6 days. In all the standard here is not commensurate with the full business class fare paid. The main advantage of the flights was being able to sleep, arriving on time is good but not when you are without your luggage and the follow up is so poor.",,
679,Singapore Airlines,"Singapore to Brisbane. A great example of how business class should be done. Practically a brand new aircraft which features the latest Singapore business seats. The 1-2-1 configuration is perfect for privacy and easy aisle access. In my opinion, the hard product that Singapore offers, as well as the crew is what makes them stand out from the rest. The seat and entertainment system are great - and the seat converts to a reasonably comfortable bed. For a bit of extra room, I'd recommend the first row (Row 11) of business as there is a bit more leg space. Food was good and as I had ordered book the cook, my choice was already taken care of and served promptly after takeoff. Wine selection was good and my glass was never empty. The A350 features inflight wifi and Singapore now offers 30Mb for free to business class passengers which worked well for me and provided just enough to check emails a few times during the flight. The standout was the exceptional level of service provided by the crew. Business class was fairly empty (only 10 seats occupied on this flight), but as it was an overnight flight, it would have been very easy for the crew to disappear. However, the service was constant without being ""in your face."" A great experience with Singapore, and the A350 certainly makes travel very pleasant.",,
1888,Qatar Airways,"Brussels to Bangkok via Doha in April and Qatar Airways is a top airline! The most aspects of our journey were good/great. We had no transfer problems at all, although the transfer time was limited (1h45). We checked in via web (twice), but the queues for us in Brussels as well in Bangkok were longer than those who had not checked in via web. There were far more check in desks opened for customers who had not checked in, so our waiting time was to long.  The cabin crew was very friendly (especially for our kids). The inflight service and meals are very good. It was just a bit disappointing that the choices for the main course were limited when they came by. Overall were satisfied with Qatar Airways.",,
2894,Emirates,"I had a poor experience on this flight. I have been using Emirates' services for over 20 years, being a Blue member and, then, a Silver member, up until the time of covid. I have had no reason to complain, previously about Emirates’ service. Sitting in seat 30F, I had ordered vegetarian food, and received a snack soon after take-off, along with a sealed cup of water. Subsequently, meals for other passengers were brought round and people were offered drinks, but I was offered nothing, and the steward moved on too quickly for me to request a drink. At the next opportunity, when a steward passed by, I requested a drink, but was advised to wait until lunch was served (a very poor response, I felt). I reiterated: I would like a drink as soon as possible (as I was thirsty). The person in seat 30G was asleep and I could not exit the seat with causing a disturbance. A drink was subsequently provided (but over 15 minutes later). However, the table in 30F is/was not secure and the drink slid off, spilled over me and the person in 30G next to me. The people sitting either side of me were more helpful than the steward in trying to clear up the mess. Later on, lunch did arrive, but it was 2 hours after I had first requested a drink (so, my request for a drink had been vindicated). When food trays were later collected, mine was overlooked, the steward passed me by, and my food tray was left for over half an hour. When a steward passed by, I asked that the tray be removed and could not understand why I was being treated in what seemed a negligent manner. At this point, I was beginning to become very fed up. A supervisor later came round and asked if I was alright. I was fine (albeit tired), but frustrated at having been ignored and overlooked. The supervisor was firm, but unapologetic, and asked me if I needed anything. I did not need anything, and she left me without further comment, her enquiry appearing pointless to me, as it solved nothing. Following this experience, I am unlikely to use Emirates again, which has left me thoroughly disillusioned with the company.",,
2699,All Nippon Airways,"I’ve always enjoyed flying ANA on its international routes and I’m happy to report that the domestic route I flew was up to the same high standards of service. A very early red eye flight, cheap ticket but a very clean, well maintained looking interior to the aircraft. No food served but the flight attendants were very friendly and helpful without being either overly intrusive or noticeably absent. Seats were comfortable, decent enough legroom that I didn’t feel cramped on the 3 hour flight as well which was a bonus as squeezing my six foot frame into some previous airlines cabins has been torturous. No personal screens for entertainment but there were radio channels available and I always travel with a book so I was quite content. Got me where I wanted to go with no fuss and a totally uneventful journey. Thanks!",,
4973,Turkish Airlines,"I was under impression no alcohol would be served to economy class, however, our flight did serve alcohol. Food on the way there was not good, however, returning flight (which also included alcohol for economy) was much better and closer to how I remember it being many years ago. When we boarded, our seating area hadn't been cleaned and there was trash from the prior flight in the storage area where the magazines and safety pamphlets are stored. Upon telling the stewardess about this she cleaned it up and proceeded to give my wife and I a bottle of wine each before we had taken off. Small things like this go a long way!",,
4311,Japan Airlines,"Tokyo to Taipei. First the flight was delayed at the gate after boarding for more than 45 minutes, taxi for another 30 minutes. So the plane was late leaving and late arriving in Taiwan. The food was so so, for business class, really it could have been better. Gate staff also were not well organized. It is surprising for Japan. The lack of signs at the airport gate area and the size of the gate area were terrible. Passengers did not know which lines to go to and business and first class passengers also had to fight through the crowd to board. The biggest problem with the flight was a screaming infant across the isle. Flight attendants did nothing. The parents and grandparents also did nothing. It was horrifying. People should not be traveling with infants, period, for any reason unless they are moving abroad! These were typical selfish parents who insist to travel with their family and could careless about other people. The flight was full and their kid was crying the whole time. Which means their kid was not comfortable. This selfishness has to stop, and airline staff and airlines need to address it instead of ignoring it. I paid good money for a business class seat, and yet I had to endure this nonsense the entire flight. I am sympathetic in most cases where a kid may act out for a short period of time, but this was ridiculous.",,
7260,Cathay Pacific Airways,"Hong Kong to Bangkok. I reckon for the past 8 flights I’ve been on with them this year, they have been delayed ridiculously (two hours). Other airlines are not affected as much it seems. The advertisement of duty free sales in the inflight entertainment system is very annoying as well as unnecessary PA announcements such as that they’re collecting donations for unicef. Their method of contacting customers regarding ticket bookings is terrible too. I was once called and sent a very vague email not mentioning the reason for contacting me. I only realised a couple of hours before a supposedly booked flight that the credit card payment didn’t go through and that was what they were calling about. Would have been nice to have mentioned it as on the email instead of saying “we tried to call you please reply when you are free” - which I did reply ASAP with no follow up. Changing flights from overseas is a problem too if you enter your asiamiles number when calling in as it directs you to an office which cannot handle ticketing! They told me to call again and not enter my number - silly.",,
2018,Qatar Airways,"Montreal to Doha. On aircraft the staff took my baby stroller and when I asked for a tag number for the stroller the guy told me that “we have cargo problem and we can’t give a tag for the stroller right now but we will make sure that you get back your stroller at the gate on arrival”. On arrival there was no stroller and I complained at Qatar airways office at Doha airport directly after arrival before leaving the airport. Since October 4th, I was trying to keep in touch with the baggage service team. I called many many time and every time they answered that they are waiting for the Montreal team to answered. Finally, the day before my flight back to Canada they told me that it’s not Qatar airways liability that I miss the stroller.  I agree that I have to have a tag number but if the staff told me that they cannot give me tag number because of the cargo problem that they have what I can do except trusting them. Most of the staff were amazing but I didn’t like how they were procrastinating and left me for only few hours before my next flight and tell me that they’re not responsible.",,
